Version;Discrimina;ZoneID;ZoneName;LengthM;SiteCode;DateStart;DateFinish;AssessorCo;ZoneDescription;Comments;Comments2;TravelDirection;RoadType;RCACConsValue;FieldRating;RCACScore;HabitatScore;RoadWidthM;LRoadWidth;RRoadWidth;WidthVarie;RCACWidth;RCACTreesW;RCACTreesS;RCACGround;RCACGrassl;RCACLeafLi;RCACLogs;RCACRocksC;RCACWetlan;RCACMaxFau;RCACRegene;RCACWildli;RCACWeedCo;RCACSiteDi;RCACRareSp;HollowTree;LargeOldTree;Trees;LogsWoodyD;GroundFlor;Mistletoe;Shrubs;NonWeedySi;BioticSoil;LeafMulchL;Rocks;CracksCrev;Wetland;Disturbanc;Regenerati;Weeds;Powerline;BiomassRed;AdjoiningL;AdjoiningV;PowerlineD;CanopyCont;OverallFue;GroundFuel;ElevatedFu;BarkHazard;Majorweeds;Bioregion;Locality;LandFormLS;LandForm00;TypicalGeo;SoilType;EVCCode;EVCNotes;EVCSource;ManPrescri;Origin;LGA;ID;Recommenda;DescID;RCACScoreI;WKT_Geometry
0;line;51475;bellclover court;301.000.000.000.000.000;g252;17/09/2014;17/09/2014;519;semi-urban, few remnants;;;s;;low;low;2;0;3;0-5;n/a;0;1;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;28;0;0;0;0;0;0;0;0;1;1;1;0;298;;e;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;25;2;linestring (143.756115796798 -37.5940676850509,143.75507067318 -37.5954259766757,143.754722304872 -37.5965152843813)
0;line;51476;bellclover court;325.000.000.000.000.000;g252;17/09/2014;17/09/2014;519;semi-urban, few remnants;;roadside only scores hcv due to listed species presence, otherwise lcv;n;;high (low base score);low;17;33;3;n/a;0-5;0;1;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;15.000.000.000.000.000;0;0;0;0;28;0;0;0;0;0;0;0;0;1;1;1;1;298;;e;;none;;;;;;;;;;0;;47;47;survey;47h.pdf;;golden plains;eo-519;;25;2;linestring (143.755620511441 -37.5938043936861,143.754460861249 -37.5953085089335,143.754115997193 -37.5964424178001)
0;line;51477;westgate road;975.000.000.000.000.000;g086;17/09/2014;17/09/2014;519;semi-urban, few remnants;;;sw;;low;low;3;0;4;0-5;n/a;0;1;0.000000000000000;1.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;28;0;16;0;0;0;0;0;0;1;1;1;1;298;;ei;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;25;2;linestring (143.775015264798 -37.5985233107991,143.773079079587 -37.6006462304473,143.77123458888 -37.6016220158181,143.768766043484 -37.6025278321026,143.768377184648 -37.6027195729242,143.768019483193 -37.6030439138757,143.76776003476 -37.6034591906393,143.767452006524 -37.6044030818933)
0;line;51478;westgate road;976.000.000.000.000.000;g086;17/09/2014;17/09/2014;519;semi-urban, few remnants;;;sw;;low;low;6;0;4;n/a;0-5;0;1;3.000.000.000.000.000;1.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;3;0;0;0;28;0;16;0;0;0;0;0;0;1;1;1;0;298;;ei;;none;;;;;;;;;;0;;47;47;survey;47l.pdf;;golden plains;eo-519;;25;3;linestring (143.767159907028 -37.6043736302281,143.767513785638 -37.6034673121493,143.767821616534 -37.6029413513247,143.768213416007 -37.6025644090086,143.769900175284 -37.6018939950752,143.771197627588 -37.6014363988468,143.772861229699 -37.6005487408101,143.773720503649 -37.5996370073491,143.774717054084 -37.598462039541)
0;line;51479;haddon common road;917.000.000.000.000.000;g083b;17/09/2014;17/09/2014;519;forest;;;n;;high;high;15;56;4;0-5;n/a;0;1;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;4.000.000.000.000.000;0.000000000000000;0;0;20;2;48;0;24;0;2;2;0;0;0;3;2;3;1;289;;i+e;;continuous;;;;;;;;;;0;;20;20;survey;20h.pdf;;golden plains;eo-519;;39;15;linestring (143.740307966663 -37.6021128088842,143.740444731325 -37.6014067470007,143.74105112418 -37.6007791400556,143.740956267596 -37.5995080094499,143.74119571146 -37.5984296496625,143.741349617894 -37.5976236384762,143.741262246041 -37.5970777404193,143.741136291376 -37.5968594963859,143.737685705478 -37.596426310929)
0;line;51480;haddon common road;948.000.000.000.000.000;g083b;17/09/2014;17/09/2014;519;forest;;;n;;high;high;16;60;4;n/a;0-5;0;1;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;3.000.000.000.000.000;4.000.000.000.000.000;0.000000000000000;0;0;20;2;48;0;24;0;2;2;0;0;0;3;2;4;0;289;;i+e;;continuous;;;;;;;;;;0;;20;20;survey;20h.pdf;;golden plains;eo-519;;39;16;linestring (143.737742056847 -37.5962364437633,143.741107340331 -37.5966559346444,143.741366874457 -37.5967608934466,143.741596970978 -37.5975468074545,143.741435783518 -37.5984392946247,143.741165366778 -37.5995031495072,143.741307163042 -37.6008317474395,143.740700719149 -37.6014579154145,143.740556494891 -37.6021337004128)
0;line;51481;wongerer lane;845.000.000.000.000.000;g083d;17/09/2014;17/09/2014;519;forest;;;s;;high;high;16;60;4;0-5;n/a;0;1;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;3.000.000.000.000.000;4.000.000.000.000.000;0.000000000000000;0;1;20;2;48;0;24;0;2;2;0;0;0;3;2;3;0;300;;i+e;;continuous;;;;;;;;;;0;;20;20;survey;20h.pdf;;golden plains;eo-519;;39;16;linestring (143.730816418015 -37.5984329621053,143.730371451272 -37.6007774176486,143.730077943809 -37.6024197139838,143.73048509146 -37.6035193007364,143.729903098755 -37.6045183632777,143.72968793977 -37.6058493840835)
0;line;51482;wongerer lane;143.000.000.000.000.000;g083d;17/09/2014;17/09/2014;519;cleared under powerlines;;;s;;medium;medium;8;27;4;0-5;n/a;0;1;0.000000000000000;1.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1.000.000.000.000.000;3.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;1.000.000.000.000.000;2.000.000.000.000.000;0.000000000000000;0;0;0;0;28;0;16;0;0;0;0;0;1;2;2;2;1;289;;i+e;;none;;;;;;;;;;0;;47;47;survey;47m.pdf;;golden plains;eo-519;;10;8;linestring (143.729679476942 -37.6059550758036,143.729445096768 -37.6072382525247)
0;line;51483;wongerer lane;993.000.000.000.000.000;g083d;17/09/2014;17/09/2014;519;forest;;;n;;high;high;15;51;4;n/a;0-5;0;0;1.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;2.000.000.000.000.000;1.000.000.000.000.000;0.000000000000000;0.000000000000000;5.000.000.000.000.000;1.000.000.000.000.000;2.000.000.000.000.000;2.000.000.000.000.000;4.000.000.000.000.000;0.000000000000000;0;1;18;1;32;0;23;0;2;2;0;0;0;3;2;3;0;289;;i+e;;patchy;;;;;;;;;;0;;286;[47]>20/22;survey;286h.pdf;;golden plains;eo-519;;39;15;linestring (143.729213408122 -37.6071776686422,143.729733637983 -37.6043102131476,143.729882481774 -37.6033646924677,143.730092056585 -37.6031605610436,143.72986425158 -37.6024703365258,143.730584399262 -37.5983881539055)
0;line;51484;bothe place;276.000.000.000.000.000;g255;17/09/2014;17/09/2014;519;cleared under powerlines;;;w;;low;low;3;0;3;0-5;n/a;0;1;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000.000.000.000.000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0;0;0;0;29;0;0;0;0;0;0;0;0;1;1;1;1;298;;ei;;none;;;;;;;;;;0;;286;20/22;survey;286l.pdf;;golden plains;eo-519;;10;3;linestring (143.726216194778 -37.5952385630835,143.725921412518 -37.5951240246957,143.724447795417 -37.5949557313888,143.723909505305 -37.5947369021748,143.723215911425 -37.5946430986369)
